date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000049,2000-02-18,MOD11A2,LST_Day_1km,,,,,,,,961,0,0.00
A2000057,2000-02-26,MOD11A2,LST_Day_1km,275.8000,285.8600,268244.8125,10.0600,281.4741,6.0109,2.4517,961,953,99.17
A2000065,2000-03-05,MOD11A2,LST_Day_1km,268.2400,281.2000,211711.2812,12.9600,276.0251,6.9949,2.6448,961,767,79.81
A2000073,2000-03-13,MOD11A2,LST_Day_1km,258.8600,283.4200,103999.3906,24.5600,278.8188,22.4549,4.7387,961,373,38.81
A2000081,2000-03-21,MOD11A2,LST_Day_1km,280.3800,291.6800,122821.8203,11.3000,284.9694,9.8191,3.1335,961,431,44.85
A2000089,2000-03-29,MOD11A2,LST_Day_1km,278.5200,292.0400,260471.3438,13.5200,286.2322,6.7345,2.5951,961,910,94.69
A2000097,2000-04-06,MOD11A2,LST_Day_1km,279.5200,295.7400,279215.5938,16.2200,290.5469,9.6296,3.1032,961,961,100.00
A2000105,2000-04-14,MOD11A2,LST_Day_1km,289.3200,297.7000,283778.4688,8.3800,295.2950,1.8885,1.3742,961,961,100.00
A2000113,2000-04-22,MOD11A2,LST_Day_1km,293.6600,302.2600,286889.5625,8.6000,298.5323,1.5953,1.2631,961,961,100.00
A2000121,2000-04-30,MOD11A2,LST_Day_1km,291.1000,301.7200,285048.1875,10.6200,296.6162,2.9385,1.7142,961,961,100.00
A2000129,2000-05-08,MOD11A2,LST_Day_1km,289.1400,299.7800,283183.1875,10.6400,294.6755,3.1271,1.7684,961,961,100.00
A2000137,2000-05-16,MOD11A2,LST_Day_1km,293.3400,306.9800,289221.8750,13.6400,300.9593,4.7271,2.1742,961,961,100.00
A2000145,2000-05-24,MOD11A2,LST_Day_1km,285.7600,302.9000,285613.1562,17.1400,297.8239,4.0648,2.0161,961,959,99.79
A2000153,2000-06-01,MOD11A2,LST_Day_1km,292.3200,302.7800,286277.2188,10.4600,297.8951,2.1404,1.4630,961,961,100.00
A2000161,2000-06-09,MOD11A2,LST_Day_1km,295.3200,304.4200,287440.4375,9.1000,299.1056,1.5287,1.2364,961,961,100.00
