date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000049,2000-02-18,MOD11A2,LST_Night_1km,,,,,,,,961,0,0.00
A2000057,2000-02-26,MOD11A2,LST_Night_1km,268.3600,274.8000,261258.3438,6.4400,271.8609,1.0851,1.0417,961,961,100.00
A2000065,2000-03-05,MOD11A2,LST_Night_1km,254.6400,272.5600,37200.9883,17.9200,265.7213,20.9942,4.5819,961,140,14.57
A2000073,2000-03-13,MOD11A2,LST_Night_1km,270.2400,272.9800,18223.2832,2.7400,271.9893,0.6273,0.7920,961,67,6.97
A2000081,2000-03-21,MOD11A2,LST_Night_1km,264.5400,276.7600,255305.1719,12.2200,273.9326,3.5237,1.8772,961,932,96.98
A2000089,2000-03-29,MOD11A2,LST_Night_1km,272.3600,279.5600,243122.9844,7.2000,275.6496,1.1146,1.0557,961,882,91.78
A2000097,2000-04-06,MOD11A2,LST_Night_1km,269.8600,279.8000,236480.2656,9.9400,274.0212,4.7825,2.1869,961,863,89.80
A2000105,2000-04-14,MOD11A2,LST_Night_1km,278.9400,284.4600,271070.8438,5.5200,282.0716,0.6641,0.8149,961,961,100.00
A2000113,2000-04-22,MOD11A2,LST_Night_1km,281.7600,287.0200,272887.2188,5.2600,283.9617,1.2791,1.1310,961,961,100.00
A2000121,2000-04-30,MOD11A2,LST_Night_1km,277.2000,282.4200,268703.9375,5.2200,279.6087,1.1288,1.0625,961,961,100.00
A2000129,2000-05-08,MOD11A2,LST_Night_1km,279.1600,285.4000,271254.8750,6.2400,282.2631,0.7585,0.8709,961,961,100.00
A2000137,2000-05-16,MOD11A2,LST_Night_1km,280.1400,288.8400,272217.7188,8.7000,283.2650,1.2681,1.1261,961,961,100.00
A2000145,2000-05-24,MOD11A2,LST_Night_1km,282.2800,288.8200,274355.9375,6.5400,285.4901,2.8300,1.6823,961,961,100.00
A2000153,2000-06-01,MOD11A2,LST_Night_1km,282.2800,287.7200,273794.8438,5.4400,284.9062,1.0192,1.0095,961,961,100.00
A2000161,2000-06-09,MOD11A2,LST_Night_1km,286.2400,291.4000,277748.1875,5.1600,289.0200,0.7971,0.8928,961,961,100.00
A2000169,2000-06-17,MOD11A2,LST_Night_1km,281.4200,293.0800,275125.2500,11.6600,286.2906,3.6895,1.9208,961,961,100.00
A2000177,2000-06-25,MOD11A2,LST_Night_1km,277.4400,287.7600,215900.6719,10.3200,284.0798,3.7016,1.9240,961,760,79.08
A2000185,2000-07-03,MOD11A2,LST_Night_1km,281.2800,286.7800,273889.5312,5.5000,285.0047,0.6240,0.7899,961,961,100.00
A2000193,2000-07-11,MOD11A2,LST_Night_1km,274.1000,275.6600,4132.5396,1.5600,275.5026,0.1802,0.4244,961,15,1.56
A2000201,2000-07-19,MOD11A2,LST_Night_1km,278.6200,288.6600,275031.5000,10.0400,286.1930,2.2327,1.4942,961,961,100.00
A2000209,2000-07-27,MOD11A2,LST_Night_1km,282.5600,291.6800,265196.2500,9.1200,286.6986,2.1865,1.4787,961,925,96.25
A2000217,2000-08-04,MOD11A2,LST_Night_1km,284.4800,287.7000,67736.5703,3.2200,285.8083,0.3971,0.6302,961,237,24.66
A2000225,2000-08-12,MOD11A2,LST_Night_1km,289.1600,298.1800,211098.9062,9.0200,293.1929,3.0490,1.7461,961,720,74.92
A2000233,2000-08-20,MOD11A2,LST_Night_1km,284.5200,295.8800,276378.2188,11.3600,287.5944,4.4414,2.1075,961,961,100.00
A2000241,2000-08-28,MOD11A2,LST_Night_1km,280.7400,286.2200,272589.4062,5.4800,283.6518,1.1824,1.0874,961,961,100.00
A2000249,2000-09-05,MOD11A2,LST_Night_1km,279.2200,284.8200,270943.2500,5.6000,281.9389,0.9540,0.9767,961,961,100.00
A2000257,2000-09-13,MOD11A2,LST_Night_1km,271.6800,285.7800,261884.1562,14.1000,279.7908,2.9957,1.7308,961,936,97.40
A2000265,2000-09-21,MOD11A2,LST_Night_1km,277.9600,282.6800,269073.9375,4.7200,279.9937,0.8816,0.9389,961,961,100.00
A2000273,2000-09-29,MOD11A2,LST_Night_1km,279.1800,286.7200,271824.4062,7.5400,282.8558,1.6870,1.2988,961,961,100.00
A2000281,2000-10-07,MOD11A2,LST_Night_1km,279.2400,288.6000,263083.9688,9.3600,284.1080,3.0283,1.7402,961,926,96.36
A2000289,2000-10-15,MOD11A2,LST_Night_1km,275.8400,283.0600,267982.0625,7.2200,278.8575,1.6101,1.2689,961,961,100.00
A2000297,2000-10-23,MOD11A2,LST_Night_1km,271.8000,285.5600,184775.6406,13.7600,277.8581,7.1948,2.6823,961,665,69.20
A2000305,2000-10-31,MOD11A2,LST_Night_1km,273.6600,279.9800,265360.1562,6.3200,276.1292,1.2290,1.1086,961,961,100.00
A2000313,2000-11-08,MOD11A2,LST_Night_1km,273.3200,278.2600,264924.5000,4.9400,275.6759,0.9545,0.9770,961,961,100.00
A2000321,2000-11-16,MOD11A2,LST_Night_1km,273.6400,279.6800,177951.0469,6.0400,275.4660,0.8536,0.9239,961,646,67.22
A2000329,2000-11-24,MOD11A2,LST_Night_1km,265.4000,278.3000,261701.9062,12.9000,272.3225,4.3907,2.0954,961,961,100.00
A2000337,2000-12-02,MOD11A2,LST_Night_1km,270.1800,277.2000,261897.7656,7.0200,273.3797,2.0449,1.4300,961,958,99.69
A2000345,2000-12-10,MOD11A2,LST_Night_1km,260.3800,269.8400,9650.1621,9.4600,268.0601,4.2336,2.0576,961,36,3.75
